list_name	name	label	region	province	cat	dealer	dealer1	dealer2	dealer3	dealer4	dealer5	dealer6	dealer7	dealer8	dealer9
region	r1	R1													
region	r2	R2													
region	r3	R3													
region	r4	R4													
region	r5	R5													
region	r6	R6													
region	r7	R7													
region	r8	R8													
dealer	avg4	AVG4	r8												
dealer	bke7	BKE7	r7												
dealer	bmc2	BMC2	r5												
dealer	btb1	BTB1	r4												
dealer	bti6	BTI6	r2												
dealer	bty8	BTY8	r6												
dealer	bvl6	BVL6	r4												
dealer	ca1	CA1	r1												
dealer	ca2	CA2	r1												
dealer	ca3	CA3	r1												
dealer	ca4	CA4	r1												
dealer	ca5	CA5	r1												
dealer	ca6	CA6	r1												
dealer	ca7	CA7	r1												
dealer	ca8	CA8	r1												
dealer	ca9	CA9	r1												
dealer	chk6	CHK6	r5												
dealer	cks1	CKS1	r8												
dealer	cph2	CPH2	r2												
dealer	cuk7	CUK7	r3												
dealer	kcg4	KCG4	r3												
dealer	kcm1	KCM1	r6												
dealer	kd1	KDL1	r2												
dealer	kht3	KHT3	r2												
dealer	kkg3	KKG3	r3												
dealer	tpg2	TPG2	r3												
dealer	kps7	KPS7	r3												
dealer	kpt2	KPT2	r3												
dealer	krg7	KRG7	r4												
dealer	krt1	KRT1	r7												
dealer	krv5	KRV5	r2												
dealer	ksa5	KSA5	r7												
dealer	ksm1	KSM1	r3												
dealer	ksp3	KSP3	r3												
dealer	ksv5	KSV5	r2												
dealer	ktb1	KTB1	r2												
dealer	kth2	KTH2	r5												
dealer	ktl6	KTL6	r3												
dealer	ktm8	KTM8	r5												
dealer	ktr4	KTR4	r3												
dealer	mdk2	MDK2	r7												
dealer	mmt3	MMT3	r6												
dealer	mrs5	MRS5	r4												
dealer	pkb4	PKB4	r2												
dealer	pln4	PLN4	r4												
dealer	pmr5	PMR5	r2												
dealer	pnp6	PNP6	r3												
dealer	ppr8	PPR8	r5												
dealer	ppt3	PPT3	r4												
dealer	ptm6	PTM6	r1												
dealer	puk7	PUK7	r5												
dealer	pus5	PUS5	r4												
dealer	pvh3	PVH3	r8												
dealer	rtk4	RTK4	r7												
dealer	smr5	SMR5	r8												
dealer	snl6	SNL6	r7												
dealer	sra5	SRA5	r3												
dealer	srp1	SRP1	r5												
dealer	str3	STR3	r7												
dealer	stt4	STT4	r6												
dealer	sva7	SVA7	r2												
dealer	svr4	SVR4	r2												
dealer	tak2	TAK2	r2												
dealer	tkm2	TKM2	r6												
dealer	vvg1	VVG1	r4												
province	bmc	Banteay Meanchey				ppt3	bmc2	ppr8							
province	btt	Battambang				btb1	bvl6	krg7	mrs5	pln4	vvg1				
province	kc	Kampong Cham				ptm6	bty8	kcm1	stt4	tkm2					
province	kchh	Kampong Chhnang				kcg4	ktl6	bty8							
province	kspe	Kampong Speu				ca1	bti6	kd1	kps7	ksp3	sra5	tpg2			
province	ktho	Kampong Thom				kth2	ktm8								
province	kka	Kampot				cuk7	kpt2	ktr4	sra5						
province	kd	Kandal				ca1	ca6	ca7	ca8	ptm6	kd1	kht3	ksv5		
